emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,127.0,126.0,125.0,125.0,124.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,130.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,131.0,131.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,124.0,125.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,126.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,127.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,128.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,131.0,131.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,125.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,126.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,127.0,128.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,131.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,128.0,131.0,131.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,124.0,125.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,126.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,126.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,130.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,131.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,125.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,124.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,127.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,130.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,124.0,123.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,124.0,125.0,123.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,126.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,127.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,128.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,130.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,131.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,124.0,124.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,125.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,127.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,124.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,124.0,127.0,126.0,128.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,128.0,127.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,127.0,124.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,126.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,125.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,129.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,132.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,124.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,124.0,125.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,130.0,130.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,125.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,125.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,126.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,126.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,127.0,128.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,128.0,127.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,128.0,127.0,130.0,130.0,126.0,131.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,125.0,123.0,124.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,125.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,127.0,125.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,126.0,126.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,123.0,127.0,127.0,130.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,123.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,124.0,124.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,124.0,125.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,126.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,126.0,126.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,130.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,122.0,126.0,123.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,124.0,123.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,123.0,126.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,126.0,126.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,127.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,128.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,125.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,124.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,126.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,129.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,130.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,127.0,124.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,126.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,125.0,127.0,127.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,127.0,127.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,128.0,127.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,124.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,125.0,125.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,126.0,126.0,126.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,127.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,129.0,126.0,130.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,124.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,127.0,125.0,124.0,125.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,126.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,126.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,127.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,129.0,129.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,130.0,126.0,124.0,122.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,124.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,124.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,126.0,126.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,126.0,126.0,127.0,127.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,125.0,127.0,126.0,127.0,127.0,127.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,124.0,127.0,127.0,128.0,128.0,127.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,130.0,126.0,124.0,122.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,122.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,128.0,126.0,125.0,123.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,126.0,125.0,125.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,126.0,125.0,126.0,126.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,127.0,126.0,126.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,127.0,126.0,128.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
125.0,125.0,127.0,126.0,128.0,128.0,126.0,129.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,130.0,126.0,124.0,122.0,122.0,127.0,123.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
127.0,129.0,126.0,124.0,123.0,123.0,127.0,124.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,124.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,128.0,126.0,124.0,125.0,124.0,127.0,125.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,127.0,127.0,125.0,126.0,125.0,127.0,126.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
126.0,126.0,127.0,125.0,127.0,126.0,127.0,127.0,-6.0,113.0,-1.0,127.0,127.0,127.0,-128.0,-126.0,-127.0
